
2024/06/07 (19:57:08) | ===> btop++ v.1.3.2
2024/06/07 (19:57:08) | INFO: Logger set to DEBUG
2024/06/07 (19:57:08) | DEBUG: Using locale en_US.UTF-8
2024/06/07 (19:57:08) | INFO: Running on /dev/ttys000
2024/06/07 (19:57:08) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/07 (19:57:08) | DEBUG: checking intel
2024/06/07 (19:57:08) | DEBUG: no intel sensors found
2024/06/07 (19:57:08) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/06/07 (22:03:52) | INFO: Quitting! Runtime: 02:06:44

2024/06/10 (05:02:41) | ===> btop++ v.1.3.2
2024/06/10 (05:02:41) | INFO: Logger set to DEBUG
2024/06/10 (05:02:41) | DEBUG: Using locale en_US.UTF-8
2024/06/10 (05:02:41) | INFO: Running on /dev/ttys002
2024/06/10 (05:02:41) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/10 (05:02:41) | DEBUG: checking intel
2024/06/10 (05:02:41) | DEBUG: no intel sensors found
2024/06/10 (05:02:41) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/06/10 (05:02:42) | INFO: Quitting! Runtime: 00:00:01

2024/06/12 (19:19:08) | ===> btop++ v.1.3.2
2024/06/12 (19:19:08) | INFO: Logger set to DEBUG
2024/06/12 (19:19:08) | DEBUG: Using locale en_US.UTF-8
2024/06/12 (19:19:08) | INFO: Running on /dev/ttys001
2024/06/12 (19:19:08) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/12 (19:19:08) | DEBUG: checking intel
2024/06/12 (19:19:08) | DEBUG: no intel sensors found
2024/06/12 (19:19:08) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/06/12 (19:19:58) | DEBUG: Writing new config file
2024/06/12 (19:19:58) | INFO: Quitting! Runtime: 00:00:50

2024/06/16 (00:07:45) | ===> btop++ v.1.3.2
2024/06/16 (00:07:45) | INFO: Logger set to DEBUG
2024/06/16 (00:07:45) | DEBUG: Using locale en_US.UTF-8
2024/06/16 (00:07:45) | INFO: Running on /dev/ttys003
2024/06/16 (00:07:45) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/16 (00:07:45) | DEBUG: checking intel
2024/06/16 (00:07:45) | DEBUG: no intel sensors found
2024/06/16 (00:07:45) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/06/16 (00:08:34) | INFO: Quitting! Runtime: 00:00:49

2024/08/24 (07:23:36) | ===> btop++ v.1.3.2
2024/08/24 (07:23:36) | INFO: Logger set to DEBUG
2024/08/24 (07:23:36) | DEBUG: Using locale en_US.UTF-8
2024/08/24 (07:23:36) | INFO: Running on /dev/ttys001
2024/08/24 (07:23:36) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/08/24 (07:23:36) | DEBUG: checking intel
2024/08/24 (07:23:36) | DEBUG: no intel sensors found
2024/08/24 (07:23:36) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/08/24 (07:37:18) | INFO: Quitting! Runtime: 00:13:42

2024/08/24 (07:58:07) | ===> btop++ v.1.3.2
2024/08/24 (07:58:07) | INFO: Logger set to DEBUG
2024/08/24 (07:58:07) | DEBUG: Using locale en_US.UTF-8
2024/08/24 (07:58:07) | INFO: Running on /dev/ttys003
2024/08/24 (07:58:07) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/08/24 (07:58:07) | DEBUG: checking intel
2024/08/24 (07:58:07) | DEBUG: no intel sensors found
2024/08/24 (07:58:07) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/08/24 (07:58:13) | INFO: Quitting! Runtime: 00:00:06

2024/08/24 (08:07:10) | ===> btop++ v.1.3.2
2024/08/24 (08:07:10) | INFO: Logger set to DEBUG
2024/08/24 (08:07:10) | DEBUG: Using locale en_US.UTF-8
2024/08/24 (08:07:10) | INFO: Running on /dev/ttys004
2024/08/24 (08:07:10) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/08/24 (08:07:10) | DEBUG: checking intel
2024/08/24 (08:07:10) | DEBUG: no intel sensors found
2024/08/24 (08:07:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/08/24 (08:07:11) | INFO: Quitting! Runtime: 00:00:01

